,title,domestic_gross,foreign_gross,year
849,The Perks of Being a Wallflower,17700000.0,The Perks of Being a Wallflower,2012
850,Haywire,18900000.0,Haywire,2012
851,Katy Perry: Part of Me,25300000.0,Katy Perry: Part of Me,2012
852,Lockout,14300000.0,Lockout,2012
853,Joyful Noise,30900000.0,Joyful Noise,2012
854,Premium Rush,20300000.0,Premium Rush,2012
855,The Raven,16000000.0,The Raven,2012
856,Rowdy Rathore,777000.0,Rowdy Rathore,2012
857,Dragon (2012),11100.0,Dragon (2012),2012
858,Bol Bachchan,1200000.0,Bol Bachchan,2012
859,The Master,16399999.0,The Master,2012
860,Rust and Bone,2100000.0,Rust and Bone,2012
861,Big Miracle,20200000.0,Big Miracle,2012
862,Sparkle (2012),24400000.0,Sparkle (2012),2012
863,To the Arctic (IMAX),14600000.0,To the Arctic (IMAX),2012
864,Hitchcock,6000000.0,Hitchcock,2012
865,A Thousand Words,18500000.0,A Thousand Words,2012
866,Wanderlust,17500000.0,Wanderlust,2012
867,Beasts of the Southern Wild,12800000.0,Beasts of the Southern Wild,2012
868,Polisse,211000.0,Polisse,2012
869,Amour,6700000.0,Amour,2012
870,The Man with the Iron Fists,15600000.0,The Man with the Iron Fists,2012
871,Solomon Kane,0.0,Solomon Kane,2012
872,Seven Psychopaths,15000000.0,Seven Psychopaths,2012
873,Gone,11700000.0,Gone,2012
874,Norwegian Wood,13000.0,Norwegian Wood,2012
875,The Cold Light of Day,3800000.0,The Cold Light of Day,2012
876,My Way (2012),70200.0,My Way (2012),2012
877,Tomorrow When the War Began,4900.0,Tomorrow When the War Began,2012
878,We Have a Pope,548000.0,We Have a Pope,2012
879,Headhunters,1200000.0,Headhunters,2012
880,Hit and Run,13700000.0,Hit and Run,2012
881,War of the Buttons (2012),47800.0,War of the Buttons (2012),2012
882,Red Lights (2012),52600.0,Red Lights (2012),2012
883,The Words,11500000.0,The Words,2012
884,Playing for Keeps,13100000.0,Playing for Keeps,2012
885,Silent House,12800000.0,Silent House,2012
886,Friends with Kids,7300000.0,Friends with Kids,2012
887,The Well-Digger's Daughter,386000.0,The Well-Digger's Daughter,2012
888,Klown,68800.0,Klown,2012
889,People Like Us,12400000.0,People Like Us,2012
890,Seeking Justice,412000.0,Seeking Justice,2012
891,Bachelorette,448000.0,Bachelorette,2012
892,This Must Be the Place,144000.0,This Must Be the Place,2012
893,Fun Size,9400000.0,Fun Size,2012
894,Rec 3: Genesis,9600.0,Rec 3: Genesis,2012
895,Delicacy,499000.0,Delicacy,2012
896,Seeking a Friend for the End of the World,7100000.0,Seeking a Friend for the End of the World,2012
897,The Apparition,4900000.0,The Apparition,2012
898,For Greater Glory,5700000.0,For Greater Glory,2012
899,Hysteria,1800000.0,Hysteria,2012
900,Bernie,9200000.0,Bernie,2012
901,The Sessions,6000000.0,The Sessions,2012
902,Ruby Sparks,2500000.0,Ruby Sparks,2012
903,Hyde Park on Hudson,6400000.0,Hyde Park on Hudson,2012
904,On the Road,744000.0,On the Road,2012
905,Boy (2012),256000.0,Boy (2012),2012
906,Piranha 3DD,377000.0,Piranha 3DD,2012
907,Easy Money (2012),206000.0,Easy Money (2012),2012
908,Space Dogs 3D,14400.0,Space Dogs 3D,2012
909,Bel Ami,120000.0,Bel Ami,2012
910,Promised Land (2012),7600000.0,Promised Land (2012),2012
911,Iron Sky,122000.0,Iron Sky,2012
912,Casa De Mi Padre,5900000.0,Casa De Mi Padre,2012
913,Heroine,599000.0,Heroine,2012
914,A Royal Affair,1500000.0,A Royal Affair,2012
915,All Together,43200.0,All Together,2012
916,My Worst Nightmare,22000.0,My Worst Nightmare,2012
917,The Collection,6800000.0,The Collection,2012
918,Monsieur Lazhar (U.S.-only),2000000.0,Monsieur Lazhar (U.S.-only),2012
919,Goon,4200000.0,Goon,2012
920,Cosmopolis,764000.0,Cosmopolis,2012
921,Chasing Mavericks,6000000.0,Chasing Mavericks,2012
922,Declaration of War,59100.0,Declaration of War,2012
923,Puella Magi Madoka Magica the Movie,180000.0,Puella Magi Madoka Magica the Movie,2012
924,Albert Nobbs,3000000.0,Albert Nobbs,2012
925,In Darkness,1000000.0,In Darkness,2012
926,Won't Back Down,5300000.0,Won't Back Down,2012
927,Farewell My Queen,1600000.0,Farewell My Queen,2012
928,The Tall Man,0.0,The Tall Man,2012
929,Girl in Progress,2600000.0,Girl in Progress,2012
930,"Jeff, Who Lives at Home",4300000.0,"Jeff, Who Lives at Home",2012
931,Barbara,1000000.0,Barbara,2012
932,The Raid: Redemption,4099999.0,The Raid: Redemption,2012
933,Keith Lemon: The Film,0.0,Keith Lemon: The Film,2012
934,Safety Not Guaranteed,4000000.0,Safety Not Guaranteed,2012
935,Nitro Circus the Movie 3D,3400000.0,Nitro Circus the Movie 3D,2012
936,"Lula, Son of Brazil",0.0,"Lula, Son of Brazil",2012
937,The Lady,355000.0,The Lady,2012
938,Branded,354000.0,Branded,2012
939,The Rabbi's Cat,23400.0,The Rabbi's Cat,2012
940,Searching for Sugar Man,3700000.0,Searching for Sugar Man,2012
941,Killer Joe,2000000.0,Killer Joe,2012
942,Hara-Kiri: Death of a Samurai,75700.0,Hara-Kiri: Death of a Samurai,2012
943,Robot & Frank,3300000.0,Robot & Frank,2012
944,Raiders of the Lost Ark (IMAX),3100000.0,Raiders of the Lost Ark (IMAX),2012
945,Celeste and Jesse Forever,3100000.0,Celeste and Jesse Forever,2012
946,Jab Tak Hai Jaan,3000000.0,Jab Tak Hai Jaan,2012
947,Intruders,69100.0,Intruders,2012
948,Talaash,2900000.0,Talaash,2012
949,Barfi!,2800000.0,Barfi!,2012
950,A Simple Life,192000.0,A Simple Life,2012
951,Samsara,2700000.0,Samsara,2012
952,Simon and the Oaks,151000.0,Simon and the Oaks,2012
953,Jiro Dreams of Sushi,2600000.0,Jiro Dreams of Sushi,2012
954,Dabangg 2,2500000.0,Dabangg 2,2012
955,Kid With a Bike,1500000.0,Kid With a Bike,2012
956,The Queen of Versailles,2400000.0,The Queen of Versailles,2012
957,Ek Tha Tiger,2300000.0,Ek Tha Tiger,2012
958,Chico & Rita,351000.0,Chico & Rita,2012
959,Stolen (2012),304000.0,Stolen (2012),2012
960,Footnote,2000000.0,Footnote,2012
961,The Imposter,898000.0,The Imposter,2012
962,Agneepath,2000000.0,Agneepath,2012
963,The Day I Saw Your Heart,3500.0,The Day I Saw Your Heart,2012
964,English Vinglish,1900000.0,English Vinglish,2012
965,Housefull 2,1800000.0,Housefull 2,2012
966,The Cup (2012),0.0,The Cup (2012),2012
967,Tales of the Night,11000.0,Tales of the Night,2012
968,Beloved (2012),138000.0,Beloved (2012),2012
969,360,100000.0,360,2012
970,2 Days in New York,633000.0,2 Days in New York,2012
971,Your Sister's Sister,1600000.0,Your Sister's Sister,2012
972,Hermano,29900.0,Hermano,2012
973,Lay the Favorite,21000.0,Lay the Favorite,2012
974,Soldiers of Fortune,38900.0,Soldiers of Fortune,2012
975,A Late Quartet,1600000.0,A Late Quartet,2012
976,I Wish,146000.0,I Wish,2012
977,The Salt of Life,317000.0,The Salt of Life,2012
978,Chicken with Plums,254000.0,Chicken with Plums,2012
979,Marley,1400000.0,Marley,2012
980,The Paperboy,693000.0,The Paperboy,2012
981,Chasing Ice,1300000.0,Chasing Ice,2012
982,Unforgivable,154000.0,Unforgivable,2012
983,A Little Bit of Heaven,15400.0,A Little Bit of Heaven,2012
984,The Other Son,1300000.0,The Other Son,2012
985,Meerkats,778000.0,Meerkats,2012
986,"For a Good Time, Call...",1300000.0,"For a Good Time, Call...",2012
987,Take This Waltz,1200000.0,Take This Waltz,2012
988,Cocktail (2012),1200000.0,Cocktail (2012),2012
989,Once Upon a Time in Anatolia,152000.0,Once Upon a Time in Anatolia,2012
990,Ek Main Aur Ekk Tu,1200000.0,Ek Main Aur Ekk Tu,2012
991,The Deep Blue Sea,1100000.0,The Deep Blue Sea,2012
992,Coriolanus,757000.0,Coriolanus,2012
993,Diana Vreeland: The Eye Has to Travel,1000000.0,Diana Vreeland: The Eye Has to Travel,2012
994,First Position,1000000.0,First Position,2012
995,Damsels in Distress,1000000.0,Damsels in Distress,2012
996,Rampart,973000.0,Rampart,2012
997,Elles,158000.0,Elles,2012
998,W.E.,583000.0,W.E.,2012
999,Breathing,4600.0,Breathing,2012
1000,Darling Companion,794000.0,Darling Companion,2012
1001,Teri Meri Kahaani,781000.0,Teri Meri Kahaani,2012
1002,Son of Sardaar,772000.0,Son of Sardaar,2012
1003,Agent Vinod,698000.0,Agent Vinod,2012
1004,Student of the Year,670000.0,Student of the Year,2012
1005,The Polar Express (2012 re-issue),669000.0,The Polar Express (2012 re-issue),2012
1006,Holy Motors,641000.0,Holy Motors,2012
1007,Free Men,53800.0,Free Men,2012
1008,"Peace, Love and Misunderstanding",591000.0,"Peace, Love and Misunderstanding",2012
1009,Undefeated (2012),562000.0,Undefeated (2012),2012
1010,Sister (2012),155000.0,Sister (2012),2012
1011,Vicky Donor,549000.0,Vicky Donor,2012
1012,Being Flynn,540000.0,Being Flynn,2012
1013,Ai Weiwei: Never Sorry,534000.0,Ai Weiwei: Never Sorry,2012
1014,Where Do We Go Now?,532000.0,Where Do We Go Now?,2012
1015,Bully (2012),279000.0,Bully (2012),2012
1016,Ferrari Ki Sawaari,434000.0,Ferrari Ki Sawaari,2012
1017,Dark Tide,0.0,Dark Tide,2012
1018,Apartment 143,400.0,Apartment 143,2012
1019,Sound of My Voice,408000.0,Sound of My Voice,2012
1020,Khiladi 786,379000.0,Khiladi 786,2012
1021,Smashed,377000.0,Smashed,2012
1022,Universal Soldier: Day of Reckoning,5500.0,Universal Soldier: Day of Reckoning,2012
1023,The Oranges,366000.0,The Oranges,2012
1024,Liberal Arts,327000.0,Liberal Arts,2012
1025,Compliance,319000.0,Compliance,2012
1026,Back to 1942,313000.0,Back to 1942,2012
1027,The Flowers of War,311000.0,The Flowers of War,2012
1028,Something From Nothing: The Art of Rap,288000.0,Something From Nothing: The Art of Rap,2012
1029,Love in the Buff,256000.0,Love in the Buff,2012
1030,Lola Versus,253000.0,Lola Versus,2012
1031,Keep the Lights On,246000.0,Keep the Lights On,2012
1032,Gerhard Richter Painting,243000.0,Gerhard Richter Painting,2012
1033,Trishna,240000.0,Trishna,2012
1034,Elena,233000.0,Elena,2012
1035,Tezz,230000.0,Tezz,2012
1036,The Viral Factor,220000.0,The Viral Factor,2012
1037,Neil Young Journeys,215000.0,Neil Young Journeys,2012
1038,Tai Chi Zero,212000.0,Tai Chi Zero,2012
1039,The House I Live In,211000.0,The House I Live In,2012
1040,10 Years,203000.0,10 Years,2012
1041,17 Girls,15100.0,17 Girls,2012
1042,Tim & Eric's Billion Dollar Movie,201000.0,Tim & Eric's Billion Dollar Movie,2012
1043,Any Day Now,201000.0,Any Day Now,2012
1044,Tere Naal Love Ho Gaya,178000.0,Tere Naal Love Ho Gaya,2012
1045,The Hunter (2012),177000.0,The Hunter (2012),2012
1046,Butter,105000.0,Butter,2012
1047,Kill List,29100.0,Kill List,2012
1048,Flying Swords of Dragon Gate,170000.0,Flying Swords of Dragon Gate,2012
1049,Joker,169000.0,Joker,2012
1050,Dark Horse,166000.0,Dark Horse,2012
1051,Shirin Farhad Ki Toh Nikal Padi,156000.0,Shirin Farhad Ki Toh Nikal Padi,2012
1052,Bullhead,152000.0,Bullhead,2012
1053,Chakravyuh,152000.0,Chakravyuh,2012
1054,Luv Shuv Tey Chicken Khurana,144000.0,Luv Shuv Tey Chicken Khurana,2012
1055,High School,139000.0,High School,2012
1056,Warriors of the Rainbow: Seediq Bale,136000.0,Warriors of the Rainbow: Seediq Bale,2012
1057,The Loneliest Planet,130000.0,The Loneliest Planet,2012
1058,Forgiveness of Blood,127000.0,Forgiveness of Blood,2012
1059,Toys in the Attic,64900.0,Toys in the Attic,2012
1060,"Turn Me On, Dammit!",126000.0,"Turn Me On, Dammit!",2012
1061,God Bless America,123000.0,God Bless America,2012
1062,Bullet Vanishes,118000.0,Bullet Vanishes,2012
1063,The Woman in the Fifth,114000.0,The Woman in the Fifth,2012
1064,5 Broken Cameras,110000.0,5 Broken Cameras,2012
1065,Hello I Must Be Going,107000.0,Hello I Must Be Going,2012
1066,The Magic of Belle Isle,102000.0,The Magic of Belle Isle,2012
1067,"Oslo, August 31st",101000.0,"Oslo, August 31st",2012
1068,Wuthering Heights (2012),101000.0,Wuthering Heights (2012),2012
1069,Mugamoodi,101000.0,Mugamoodi,2012
1070,V/H/S,100000.0,V/H/S,2012
1071,Goodbye First Love,95000.0,Goodbye First Love,2012
1072,Marina Abramovic: The Artist is Present,86600.0,Marina Abramovic: The Artist is Present,2012
1073,The Eye of the Storm,83600.0,The Eye of the Storm,2012
1074,Wagner & Me,37700.0,Wagner & Me,2012
1075,The Innkeepers,78400.0,The Innkeepers,2012
1076,This is Not a Film,77000.0,This is Not a Film,2012
1077,The Island President,76400.0,The Island President,2012
1078,Detachment,72700.0,Detachment,2012
1079,The Green Wave,0.0,The Green Wave,2012
1080,Attenberg,24000.0,Attenberg,2012
1081,Deadfall (2012),66400.0,Deadfall (2012),2012
1082,Girlfriend Boyfriend - GF BF,64400.0,Girlfriend Boyfriend - GF BF,2012
1083,Vulgaria,59100.0,Vulgaria,2012
1084,The Turin Horse,56400.0,The Turin Horse,2012
1085,Jodi Breakers,52600.0,Jodi Breakers,2012
1086,Painted Skin: The Resurrection,50400.0,Painted Skin: The Resurrection,2012
1087,"All's Well, End's Well (2012)",47900.0,"All's Well, End's Well (2012)",2012
1088,North Sea Texas,28300.0,North Sea Texas,2012
1089,Double Trouble,44800.0,Double Trouble,2012
1090,The Fairy,38400.0,The Fairy,2012
1091,Hit So Hard,34000.0,Hit So Hard,2012
1092,Kalakalappu@Masala Cafe,30900.0,Kalakalappu@Masala Cafe,2012
1093,The Bay,30700.0,The Bay,2012
1094,You've Been Trumped,29300.0,You've Been Trumped,2012
1095,Here (2012),26700.0,Here (2012),2012
1096,In Another Country,25100.0,In Another Country,2012
1097,The First Time,22800.0,The First Time,2012
1098,Bonsai,21300.0,Bonsai,2012
1099,The Day,21000.0,The Day,2012
1100,28 Hotel Rooms,18900.0,28 Hotel Rooms,2012
1101,Lovely Molly,18500.0,Lovely Molly,2012
1102,Juan of the Dead,18000.0,Juan of the Dead,2012
1103,4:44: Last Day on Earth,17800.0,4:44: Last Day on Earth,2012
1104,Little Birds,17700.0,Little Birds,2012
1105,Return (2012),16100.0,Return (2012),2012
1106,Alps,16100.0,Alps,2012
1107,Patience (After Sebald),15900.0,Patience (After Sebald),2012
1108,Take Me Home,15800.0,Take Me Home,2012
1109,Reuniting the Rubins,13600.0,Reuniting the Rubins,2012
1110,Cirkus Columbia,3500.0,Cirkus Columbia,2012
1111,Grassroots,12400.0,Grassroots,2012
1112,Husbands in Goa,10100.0,Husbands in Goa,2012
1113,Starry Starry Night,10000.0,Starry Starry Night,2012
1114,Corpo Celeste,8900.0,Corpo Celeste,2012
1115,Dreams of a Life,8400.0,Dreams of a Life,2012
1116,The Babymakers,7900.0,The Babymakers,2012
1117,Las Acacias,6000.0,Las Acacias,2012
1118,The Good Doctor,5200.0,The Good Doctor,2012
1119,Liar's Autobiography,5100.0,Liar's Autobiography,2012
1120,Sleepless Night,3400.0,Sleepless Night,2012
1121,ATM,3000.0,ATM,2012
1122,About Cherry,3000.0,About Cherry,2012
1123,Perfect Sense,3000.0,Perfect Sense,2012
1124,Cheerful Weather for the Wedding,2700.0,Cheerful Weather for the Wedding,2012
1125,The Decoy Bride,800.0,The Decoy Bride,2012
1126,Death of a Superhero,600.0,Death of a Superhero,2012
1127,Frozen,400700000.0,Frozen,2013
1128,Iron Man 3,409000000.0,Iron Man 3,2013
1129,Despicable Me 2,368100000.0,Despicable Me 2,2013
1130,The Hobbit: The Desolation of Smaug,258399999.0,The Hobbit: The Desolation of Smaug,2013
1131,The Hunger Games: Catching Fire,424700000.0,The Hunger Games: Catching Fire,2013
1132,Fast & Furious 6,238700000.0,Fast & Furious 6,2013
1133,Monsters University,268500000.0,Monsters University,2013
1134,Gravity,274100000.0,Gravity,2013
1135,Man of Steel,291000000.0,Man of Steel,2013
1136,Thor: The Dark World,206400000.0,Thor: The Dark World,2013
1137,The Croods,187200000.0,The Croods,2013
1138,World War Z,202400000.0,World War Z,2013
1139,Oz The Great and Powerful,234900000.0,Oz The Great and Powerful,2013
1140,Star Trek Into Darkness,228800000.0,Star Trek Into Darkness,2013
1141,The Wolverine,132600000.0,The Wolverine,2013
1142,Pacific Rim,101800000.0,Pacific Rim,2013
1143,The Wolf of Wall Street,116900000.0,The Wolf of Wall Street,2013
1144,G.I. Joe: Retaliation,122500000.0,G.I. Joe: Retaliation,2013
1145,The Hangover Part III,112200000.0,The Hangover Part III,2013
1146,The Great Gatsby (2013),144800000.0,The Great Gatsby (2013),2013
1147,Now You See Me,117700000.0,Now You See Me,2013
1148,The Smurfs 2,71000000.0,The Smurfs 2,2013
1149,The Conjuring,137400000.0,The Conjuring,2013
1150,A Good Day to Die Hard,67300000.0,A Good Day to Die Hard,2013
1151,Oblivion,89100000.0,Oblivion,2013
1152,Elysium,93100000.0,Elysium,2013
1153,Turbo,83000000.0,Turbo,2013
1154,Cloudy with a Chance of Meatballs 2,119800000.0,Cloudy with a Chance of Meatballs 2,2013
1155,We're the Millers,150400000.0,We're the Millers,2013
1156,Epic,107500000.0,Epic,2013
1157,The Lone Ranger,89300000.0,The Lone Ranger,2013
1158,American Hustle,150100000.0,American Hustle,2013
1159,Grown Ups 2,133699999.0,Grown Ups 2,2013
1160,After Earth,60500000.0,After Earth,2013
1161,Planes,90300000.0,Planes,2013
1162,The Heat,159600000.0,The Heat,2013
1163,Hansel and Gretel: Witch Hunters,55700000.0,Hansel and Gretel: Witch Hunters,2013
1164,Captain Phillips,107100000.0,Captain Phillips,2013
1165,White House Down,73100000.0,White House Down,2013
1166,Percy Jackson: Sea of Monsters,68600000.0,Percy Jackson: Sea of Monsters,2013
1167,Lost in Thailand,57400.0,Lost in Thailand,2013
1168,Jack the Giant Slayer,65200000.0,Jack the Giant Slayer,2013
1169,The Secret Life of Walter Mitty,58200000.0,The Secret Life of Walter Mitty,2013
1170,12 Years a Slave,56700000.0,12 Years a Slave,2013
1171,Lee Daniels' The Butler,116600000.0,Lee Daniels' The Butler,2013
1172,Identity Thief,134500000.0,Identity Thief,2013
1173,Anchorman 2: The Legend Continues,125200000.0,Anchorman 2: The Legend Continues,2013
1174,Olympus Has Fallen,98900000.0,Olympus Has Fallen,2013
1175,Insidious Chapter 2,83600000.0,Insidious Chapter 2,2013
1176,Lone Survivor,125100000.0,Lone Survivor,2013
1177,Jackass Presents: Bad Grandpa,102000000.0,Jackass Presents: Bad Grandpa,2013
1178,47 Ronin,38400000.0,47 Ronin,2013
1179,Red 2,53300000.0,Red 2,2013
1180,Mama,71600000.0,Mama,2013
1181,Escape Plan,25100000.0,Escape Plan,2013
1182,Last Vegas,63900000.0,Last Vegas,2013
1183,2 Guns,75600000.0,2 Guns,2013
1184,Walking with Dinosaurs,36100000.0,Walking with Dinosaurs,2013
1185,This is the End,101500000.0,This is the End,2013
1186,Ender's Game,61700000.0,Ender's Game,2013
1187,Prisoners,61000000.0,Prisoners,2013
1188,Saving Mr. Banks,83300000.0,Saving Mr. Banks,2013
1189,Warm Bodies,66400000.0,Warm Bodies,2013
1190,Jurassic Park 3D,45400000.0,Jurassic Park 3D,2013
1191,Personal Tailor,376000.0,Personal Tailor,2013
1192,Free Birds,55800000.0,Free Birds,2013
1193,Gangster Squad,46000000.0,Gangster Squad,2013
1194,Philomena,37700000.0,Philomena,2013
1195,Instructions Not Included,44500000.0,Instructions Not Included,2013
1196,Riddick,42000000.0,Riddick,2013
1197,Safe Haven,71300000.0,Safe Haven,2013
1198,Evil Dead (2013),54200000.0,Evil Dead (2013),2013
1199,Blue Jasmine,33400000.0,Blue Jasmine,2013
1200,The Mortal Instruments: City of Bones,31200000.0,The Mortal Instruments: City of Bones,2013
1201,The Internship,44700000.0,The Internship,2013
1202,Rush (2013),26900000.0,Rush (2013),2013
1203,The Purge,64500000.0,The Purge,2013
1204,Dhoom 3,8000000.0,Dhoom 3,2013
1205,About Time,15300000.0,About Time,2013
1206,Pain and Gain,49900000.0,Pain and Gain,2013
1207,Carrie (2013),35300000.0,Carrie (2013),2013
1208,The Family (2013),36900000.0,The Family (2013),2013
1209,Scary Movie 5,32000000.0,Scary Movie 5,2013
1210,R.I.P.D.,33600000.0,R.I.P.D.,2013
1211,Tiny Times,23500.0,Tiny Times,2013
1212,The Book Thief,21500000.0,The Book Thief,2013
1213,Escape From Planet Earth,57000000.0,Escape From Planet Earth,2013
1214,August: Osage County,37700000.0,August: Osage County,2013
1215,The Best Man Holiday,70500000.0,The Best Man Holiday,2013
1216,Young Detective Dee: Rise of the Sea Dragon,87800.0,Young Detective Dee: Rise of the Sea Dragon,2013
1217,The Counselor,17000000.0,The Counselor,2013
1218,The Call,51900000.0,The Call,2013
1219,One Direction: This is Us,28900000.0,One Direction: This is Us,2013
1220,The Grandmaster,6600000.0,The Grandmaster,2013
1221,Side Effects (2013),32200000.0,Side Effects (2013),2013
1222,The Host (2013),26600000.0,The Host (2013),2013
1223,Runner Runner,19300000.0,Runner Runner,2013
1224,From Up on Poppy Hill,1000000.0,From Up on Poppy Hill,2013
1225,Kick-Ass 2,28800000.0,Kick-Ass 2,2013
1226,A Haunted House,40000000.0,A Haunted House,2013
1227,Beautiful Creatures (2013),19500000.0,Beautiful Creatures (2013),2013
1228,Quartet,18400000.0,Quartet,2013
1229,Dallas Buyers Club,27300000.0,Dallas Buyers Club,2013
1230,The Face Reader,516000.0,The Face Reader,2013
1231,Tyler Perry's A Madea Christmas,52500000.0,Tyler Perry's A Madea Christmas,2013
1232,Tyler Perry's Temptation: Confessions of a Marriage Counselor,52000000.0,Tyler Perry's Temptation: Confessions of a Marriage Counselor,2013
1233,Delivery Man,30700000.0,Delivery Man,2013
1234,The Berlin File,665000.0,The Berlin File,2013
1235,The Last Stand,12100000.0,The Last Stand,2013
1236,21 and Over,25700000.0,21 and Over,2013
1237,Her (2013),25600000.0,Her (2013),2013
1238,Tiny Times 2,43800.0,Tiny Times 2,2013
1239,Texas Chainsaw 3D,34300000.0,Texas Chainsaw 3D,2013
1240,The Big Wedding,21800000.0,The Big Wedding,2013
1241,Parker,17600000.0,Parker,2013
1242,The World's End,26000000.0,The World's End,2013
1243,Grudge Match,29800000.0,Grudge Match,2013
1244,Homefront,20200000.0,Homefront,2013
1245,Snitch,42900000.0,Snitch,2013
1246,Jobs,16100000.0,Jobs,2013
1247,The Place Beyond the Pines,21400000.0,The Place Beyond the Pines,2013
1248,Inside Llewyn Davis,13200000.0,Inside Llewyn Davis,2013
1249,Mud,21600000.0,Mud,2013
1250,Movie 43,8800000.0,Movie 43,2013
1251,Kevin Hart: Let Me Explain,32200000.0,Kevin Hart: Let Me Explain,2013
1252,Spring Breakers,14100000.0,Spring Breakers,2013
1253,New World (2013),458000.0,New World (2013),2013
1254,Don Jon,24500000.0,Don Jon,2013
1255,I Give It a Year,34700.0,I Give It a Year,2013
1256,Nebraska,17700000.0,Nebraska,2013
1257,The Incredible Burt Wonderstone,22500000.0,The Incredible Burt Wonderstone,2013
1258,Mandela: Long Walk to Freedom,8300000.0,Mandela: Long Walk to Freedom,2013
1259,Khumba,1000.0,Khumba,2013
1260,Dark Skies,17400000.0,Dark Skies,2013
1261,Enough Said,17600000.0,Enough Said,2013
1262,Trance,2300000.0,Trance,2013
1263,"The Way, Way Back",21500000.0,"The Way, Way Back",2013
1264,Kon-Tiki,1500000.0,Kon-Tiki,2013
1265,Baggage Claim,21600000.0,Baggage Claim,2013
1266,Diana,335000.0,Diana,2013
1267,The Great Beauty,2900000.0,The Great Beauty,2013
1268,22 Bullets,0.0,22 Bullets,2013
1269,The Sapphires,2500000.0,The Sapphires,2013
1270,Broken City,19700000.0,Broken City,2013
1271,The Company You Keep,5100000.0,The Company You Keep,2013
1272,The Bling Ring,5800000.0,The Bling Ring,2013
1273,You're Next,18500000.0,You're Next,2013
1274,Dead Man Down,10900000.0,Dead Man Down,2013
1275,Admission,18000000.0,Admission,2013
1276,Fruitvale Station,16100000.0,Fruitvale Station,2013
1277,Battle of the Year,8900000.0,Battle of the Year,2013
1278,Out of the Furnace,11300000.0,Out of the Furnace,2013
1279,Billy and Buddy,900.0,Billy and Buddy,2013
1280,The Last Exorcism Part II,15200000.0,The Last Exorcism Part II,2013
1281,Machete Kills,8000000.0,Machete Kills,2013
1282,Journey to the South Pacific,7600000.0,Journey to the South Pacific,2013
1283,Paranoia,7400000.0,Paranoia,2013
1284,All Is Lost,6300000.0,All Is Lost,2013
1285,Puella Magi Madoka Magica the Movie: Rebellion,376000.0,Puella Magi Madoka Magica the Movie: Rebellion,2013
1286,Stoker,1700000.0,Stoker,2013
1287,In the House,390000.0,In the House,2013
1288,I'm So Excited,1400000.0,I'm So Excited,2013
1289,Haute Cuisine,218000.0,Haute Cuisine,2013
1290,Before Midnight,8100000.0,Before Midnight,2013
1291,Only God Forgives,779000.0,Only God Forgives,2013
1292,The Past,1300000.0,The Past,2013
1293,Love is All You Need,1600000.0,Love is All You Need,2013
1294,Bullet to the Head,9500000.0,Bullet to the Head,2013
1295,Tyler Perry Presents Peeples,9200000.0,Tyler Perry Presents Peeples,2013
1296,Jerusalem,8000000.0,Jerusalem,2013
1297,The Fifth Estate,3300000.0,The Fifth Estate,2013
1298,Upside Down,105000.0,Upside Down,2013
1299,Metallica Through the Never,3400000.0,Metallica Through the Never,2013
1300,Pulling Strings,5800000.0,Pulling Strings,2013
1301,Black Nativity,7000000.0,Black Nativity,2013
1302,Blue Is the Warmest Color,2200000.0,Blue Is the Warmest Color,2013
1303,Unfinished Song,1700000.0,Unfinished Song,2013
1304,The Angels' Share,347000.0,The Angels' Share,2013
1305,The Spectacular Now,6900000.0,The Spectacular Now,2013
1306,The Sweeney,26700.0,The Sweeney,2013
1307,Believe,6200000.0,Believe,2013
1308,Matru Ki Bijlee Ka Mandola,0.0,Matru Ki Bijlee Ka Mandola,2013
1309,Closed Circuit,5800000.0,Closed Circuit,2013
1310,Populaire,179000.0,Populaire,2013
1311,Broken Circle Breakdown,175000.0,Broken Circle Breakdown,2013
1312,Fists of Legend,134000.0,Fists of Legend,2013
1313,Chennai Express,5300000.0,Chennai Express,2013
1314,20 Feet from Stardom,4900000.0,20 Feet from Stardom,2013
1315,Oldboy (2013),2200000.0,Oldboy (2013),2013
1316,Commitment,76500.0,Commitment,2013
1317,White Elephant,8900.0,White Elephant,2013
1318,Much Ado About Nothing (2013),4300000.0,Much Ado About Nothing (2013),2013
1319,Frances Ha,4099999.0,Frances Ha,2013
1320,You Will Be My Son,285000.0,You Will Be My Son,2013
1321,Yeh Jawaani Hai Deewani,3800000.0,Yeh Jawaani Hai Deewani,2013
1322,Pieta,22100.0,Pieta,2013
1323,Mental,17700.0,Mental,2013
1324,The To-Do List,3500000.0,The To-Do List,2013
1325,Mr. Nobody,3600.0,Mr. Nobody,2013
1326,Emperor,3300000.0,Emperor,2013
1327,Stand Up Guys,3300000.0,Stand Up Guys,2013
1328,In a World,3000000.0,In a World,2013
1329,Ram-Leela,2700000.0,Ram-Leela,2013
1330,Capital,102000.0,Capital,2013
1331,The East,2300000.0,The East,2013
1332,I'm In Love With a Church Girl,2400000.0,I'm In Love With a Church Girl,2013
1333,No (2013),2300000.0,No (2013),2013
1334,Renoir,2300000.0,Renoir,2013
1335,The Christmas Candle,2300000.0,The Christmas Candle,2013
1336,Reality (2013),72600.0,Reality (2013),2013
1337,Krrish 3,2200000.0,Krrish 3,2013
1338,Austenland,2200000.0,Austenland,2013
